Station,Parameter,Timestamp,Value
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,5.80000019073
Nayabazar - Namsaling,Rainfall,,23.2000007629
Nayabazar - Namsaling,Rainfall,,0.20000000298
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.20000000298
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,2.20000004768
Nayabazar - Namsaling,Rainfall,,3.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,3.0
Nayabazar - Namsaling,Rainfall,,5.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,3.79999995232
Nayabazar - Namsaling,Rainfall,,1.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
